CASENUM,VEH_NO,MDRDSTRD
201310439192,2,0
201310439194,1,0
201310439209,1,0
201310439209,2,0
201310439212,1,0
201310439213,1,16
201310439213,2,0
201310439213,3,0
201310439217,1,0
201310439221,1,0
201310439231,1,0
201310439232,1,0
201310439237,1,17
201310439237,2,0
201310439239,1,0
201310439239,2,0
201310439239,3,0
201310439243,1,0
201310439243,2,0
201310439244,1,0
201310439244,2,0
201310439248,1,0
201310439272,1,17
201310439274,1,0
201310439276,1,1
201310439276,2,0
201310439285,1,0
201310439285,2,10
201310439286,1,0
201310439286,2,0
201310439286,3,0
201310439297,1,0
201310439297,2,0
201310439305,1,0
201310439305,2,0
201310439326,1,0
201310439326,2,0
201310439333,1,10
201310439348,1,0
201310439348,2,0
201310439349,1,0
201310439349,2,17
201310439350,1,0
201310439350,2,17
201310439356,1,3
201310439357,1,0
201310439364,1,0
201310439370,1,0
201310439375,1,0
201310439375,2,0
201310439375,3,0
201310439383,1,0
201310439383,2,0
201310439388,1,0
201310439389,1,0
201310439393,1,0
201310439398,1,0
201310439398,2,0
201310439398,3,0
201310439400,1,0
201310439401,1,0
201310439401,2,0
201310439405,1,0
201310439405,2,0
201310439408,1,0
201310439425,1,0
201310439425,2,0
201310439431,1,0
201310439437,1,17
201310439437,2,0
201310439448,1,0
201310439448,2,0
201310439448,3,0
201310439454,2,17
201310439456,1,3
201310439458,1,1
201310439459,1,0
201310439462,1,0
201310439479,1,0
201310439479,2,0
201310439489,1,0
201310439489,2,0
201310439492,1,0
201310439496,1,0
201310439496,2,0
201310439499,1,0
201310439508,1,4
201310439513,1,0
201310439519,1,0
201310439521,1,0
201310439530,1,0
201310439530,2,0
201310439540,1,0
201310439546,1,0
201310439556,1,0
201310439564,1,0
201310439569,1,0
201310439585,1,17
201310439587,1,4
201310439589,1,0
201310439590,1,0
201310439590,2,0
201310439597,1,0
201310439600,1,17
201310439609,1,16
201310439614,1,0
201310439616,1,0
201310439631,1,0
201310439631,2,0
201310439636,1,0
201310439636,2,0
201310439648,1,0
201310439655,1,0
201310439656,1,0
201310439656,2,1
201310439663,1,0
201310439669,1,0
201310439671,1,0
201310439676,1,0
201310439676,2,98
201310439677,1,12
