CASENUM,PER_NO,MTM_CRSH
201320932027,1,10
201320932078,1,0
201320932104,1,0
201320932176,1,0
201320932345,1,1
201320932345,1,2
201320932482,1,0
201320932516,1,1
201320932516,1,3
201320932587,1,2
201320932691,1,1
201320932691,1,2
201320932692,1,1
201320932789,1,2
201320932793,1,2
201320932887,1,2
201320932887,1,14
201320932887,1,21
201320932946,1,2
201320932946,1,3
201320933035,1,2
201320933035,1,3
201320933047,1,0
201320933063,1,0
201320933063,2,0
201320933137,1,0
201320933240,1,2
201320933240,1,10
201320933247,1,1
201320933349,1,0
201320933405,1,1
201320933425,1,0
201320933599,1,0
201320933704,1,0
201320933750,1,2
201320933750,1,12
201320933757,1,10
201320933801,1,21
201320933923,1,2
201320933923,1,12
201320933959,1,0
201320933993,1,1
201320933999,1,0
201320934000,1,1
201320934148,1,0
201320934180,1,0
201320934202,1,12
201320934202,2,0
201320934221,1,4
201320934406,1,4
201320934406,1,19
201320934593,1,2
201321318245,1,2
201321318245,1,3
201321318263,1,4
201321318267,1,12
201321318278,1,0
201321318278,2,0
201321318295,1,2
201321318295,1,12
201322024817,1,0
201322026093,1,0
201322026213,1,0
201322026264,1,0
201322026454,1,19
201322026509,1,0
201322026553,1,0
201322027090,1,2
201322027090,1,12
201322027571,1,6
201322027731,1,0
201322027984,1,0
201322028058,1,0
201322028609,1,21
201322028967,1,2
201322028967,1,3
201322028996,1,0
201322029025,1,21
201322029438,1,0
201322029906,1,0
201322030630,1,9
201322030822,1,2
201322030822,1,3
201322031149,1,0
201322031629,1,0
201322032491,1,2
201322032942,1,2
201322032942,1,6
201322033043,1,2
201322033043,1,3
201322033043,1,9
201322033043,1,21
201322033161,1,1
201322033388,1,0
201322033687,1,0
201322034139,1,2
201322034647,1,1
201322035103,1,2
201322035686,1,0
201322036266,1,0
201322036977,1,1
201322036977,1,2
201322037054,1,19
201322037433,1,1
201322037592,1,0
201322353104,1,0
201322353118,1,0
201322353130,1,1
201322353335,1,2
201322353335,1,3
201322353763,1,2
201322353793,1,0
201322353961,1,0
201322354001,1,0
201322354029,1,0
201322354296,1,0
201322354490,1,0
201322354510,1,21
201322354526,1,0
201322354758,1,0
201322354783,1,0
201322354783,2,0
201322355317,1,0
201322355438,1,4
201322355467,1,0
201322355492,1,8
201322355863,1,0
201322356024,1,0
201322356149,1,0
201322356296,1,0
201322356332,1,1
201322356332,1,2
201322356332,1,12
201322356674,1,0
201322356811,1,0
201322356836,1,0
201322357333,1,9
201322357463,1,0
201322357632,1,2
201322357632,1,3
201322357954,1,1
201322357954,1,6
201322357954,1,12
201322357965,1,0
201322357978,1,0
201322358076,1,0
201322358164,1,0
201322358490,1,0
201322358521,1,0
201322358627,1,0
201322358808,1,0
201322358831,1,0
201322358945,1,0
201322359064,1,0
201322359318,1,21
201322359330,1,0
201322359336,1,0
201322359372,1,0
201322359389,1,6
201322359389,1,8
201322359389,1,21
201322359738,1,0
201322359756,1,0
201322359909,1,1
201322359909,1,2
201322359909,1,19
201322359929,1,9
201322360035,1,2
201322360200,1,2
201322360217,1,0
201322360309,1,0
201322360671,1,0
201322360683,1,2
201322360683,1,3
201322360878,1,1
201322360878,1,2
201322361221,1,0
201322361231,1,16
201322361240,1,1
201322361257,1,0
201322361570,1,1
201322361602,1,0
201322361613,1,0
201322361807,1,0
201322361819,1,0
201322362135,1,2
201322362135,1,3
201322362135,1,10
201322362323,1,0
201322362554,1,0
201322362963,1,6
201322362996,1,0
201322363187,1,1
201322363511,1,0
201322363533,1,1
201322363562,1,0
201322363767,1,0
201322363767,2,0
201322363784,1,0
201322364015,1,0
201322364027,1,0
201322364052,1,0
201322364098,1,0
201322364111,1,0
201322364278,1,0
201322364791,1,1
201322364791,1,2
201322364808,1,0
201322364818,1,0
201322364836,1,0
201322365184,1,0
201322365217,1,1
201322365217,1,12
201322365411,1,1
201322365446,1,0
201322365461,1,0
201322365474,1,2
201322365474,1,3
201322365474,1,12
201322365674,1,0
201322365697,1,0
201322365721,1,0
201322366024,1,0
201322366488,1,0
201322366532,1,0
201322366755,1,0
201322366804,1,0
201322366809,1,21
201322366980,1,0
201322367439,1,0
201322367458,1,1
201322367560,1,0
201322367704,1,0
201322367722,1,0
201322367741,1,3
201326634240,1,0
201326634842,1,0
201326635735,1,4
201326636253,1,0
201326636706,1,12
201326637037,1,0
201326637065,1,7
201326637380,1,17
201326637383,1,1
201326637449,1,0
201326637630,1,0
201326637743,1,2
