CASENUM	VEH_NO	PER_NO	REGION	STRATUM	PJ	PSU	PSUSTRAT	MSAFEQMT	WEIGHT
201411123205	0	1	1	3	3	4	3	1	13.0465
201411123299	0	1	1	3	1	4	3	1	13.0465
201411123357	0	1	1	4	2	4	3	8	234.837
201411123470	0	1	1	4	2	4	3	1	234.837
201411123489	0	1	1	3	2	4	3	8	13.0465
201411123558	0	1	1	3	2	4	3	8	13.0465
201411123712	0	1	1	3	2	4	3	8	13.0465
201411123723	0	1	1	3	3	4	3	8	13.0465
201411123845	0	1	1	3	2	4	3	1	13.0465
201411123986	0	1	1	3	4	4	3	3	13.0465
201411124096	0	1	1	3	2	4	3	8	13.0465
201411124105	0	1	1	3	6	4	3	1	27.13672
201411124590	0	1	1	3	4	4	3	1	13.0465
201411126650	0	1	1	3	2	4	3	1	13.0465
201411532631	0	1	1	3	5	5	2	8	16.07193
201411533321	0	1	1	3	22	5	2	9	30.70788
201411533321	0	2	1	3	22	5	2	8	30.70788
201411533349	0	1	1	3	51	5	2	8	97.37049
201411533404	0	1	1	3	1	5	2	5	11.046
201411533725	0	1	1	3	11	5	2	8	21.09786
201411534039	0	1	1	4	1	5	2	8	237.489
201411534044	0	1	1	3	3	5	2	8	11.046
201411534361	0	1	1	3	16	5	2	8	22.42338
201411534451	0	1	1	3	1	5	2	8	11.046
201411534562	0	1	1	3	1	5	2	8	11.046
201411534717	0	1	1	3	5	5	2	8	16.07193
201411534995	0	1	1	4	8	5	2	8	246.8781
201411535073	0	1	1	3	2	5	2	8	11.046
201411535100	0	1	1	4	22	5	2	2	245.66304
201411535100	0	1	1	4	22	5	2	3	245.66304
201411535105	0	1	1	3	1	5	2	9	11.046
201411535135	0	1	1	3	8	5	2	8	16.45854
201411535223	0	1	1	3	3	5	2	8	11.046
201411535270	0	1	1	3	1	5	2	8	11.046
201411535301	0	1	1	3	8	5	2	7	16.45854
201411535367	0	1	1	3	8	5	2	8	16.45854
201411535395	0	1	1	4	3	5	2	8	237.489
201411535440	0	1	1	3	1	5	2	8	11.046
201411535728	0	1	1	3	1	5	2	1	11.046
201411535968	0	1	1	3	1	5	2	2	11.046
201411535968	0	1	1	3	1	5	2	5	11.046
201411536003	0	1	1	3	3	5	2	1	11.046
201411536102	0	1	1	3	1	5	2	8	11.046
201411536191	0	1	1	3	5	5	2	8	16.07193
201411536192	0	1	1	3	1	5	2	8	11.046
201411536289	0	1	1	3	1	5	2	8	11.046
201411536513	0	1	1	3	27	5	2	8	49.54131
201411536641	0	1	1	3	1	5	2	8	11.046
201411536665	0	1	1	6	51	5	2	8	97.37049
201411536701	0	1	1	3	2	5	2	1	11.046
201411536972	0	1	1	3	1	5	2	8	11.046
201411537002	0	1	1	3	1	5	2	2	11.046
201411537002	0	1	1	3	1	5	2	7	11.046
201412010565	0	1	1	3	2	6	1	8	13.8125
201412010722	0	1	1	3	4	6	1	8	11.492
201412011050	0	1	1	3	14	6	1	8	11.62076
201412011052	0	1	1	3	14	6	1	8	11.62076
201412011053	0	1	1	3	14	6	1	8	11.62076
201412011054	0	1	1	3	14	6	1	7	11.62076
201412011066	0	1	1	3	5	6	1	8	10.908946
201412011078	0	1	1	3	11	6	1	8	8.941356
201412011080	0	1	1	3	11	6	1	8	8.941356
201412011207	0	1	1	3	20	6	1	8	14.820011
201412011210	0	1	1	3	14	6	1	8	11.62076
201412011380	0	1	1	3	7	6	1	8	10.975026
201412011385	0	1	1	3	5	6	1	8	10.908946
201412011508	0	1	1	3	11	6	1	8	8.941356
201412011518	0	1	1	4	14	6	1	8	244.03596
201412011520	0	1	1	3	20	6	1	8	14.820011
201412011842	0	1	1	3	20	6	1	8	14.820011
201412011845	0	1	1	3	26	6	1	8	20.242467
