CASENUM	VEH_NO	REGION	STRATUM	PJ	PSU	PSUSTRAT	PVE_FORMS	PNUMOCCS	PMONTH	PHOUR	PMINUTE	PHARM_EV	PMAN_COLL	PTYPE	PHIT_RUN	PMAKE	PMODEL	PMAK_MOD	PBODYTYP	PMODYEAR	PVIN	PTRAILER	PMCARR_I1	PMCARR_I2	PMCARR_ID	PGVWR	PV_CONFIG	PCARGTYP	PHAZ_INV	PHAZPLAC	PHAZ_ID	PHAZ_CNO	PHAZ_REL	PBUS_USE	PSP_USE	PEM_USE	PIMPACT1	PVEH_SEV	PTOWED	PM_HARM	PVEH_SC1	PVEH_SC2	PFIRE	WEIGHT
201410742514	1	1	4	16	3	1	1	0	6	14	35	14	0	2	0	12	37	12037	4	2013	1FADP3F27DL2	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	5	12	0	0	0	242.113968
201410742844	3	1	3	21	3	1	2	0	7	7	15	12	6	2	0	12	481	12481	31	2004	1FTNW21L74EE	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	5	12	0	0	0	14.573372
201410743054	2	1	3	21	3	1	1	0	7	23	30	14	0	2	0	12	442	12442	20	2000	2FMZA534XYBC	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	5	12	0	0	0	14.573372
201410743112	1	1	4	8	3	1	1	0	7	22	40	14	0	2	0	59	35	59035	4	2006	JTHCK2621620	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	1	8	5	12	0	0	0	238.364784
201410743153	2	1	4	7	3	1	1	0	7	19	9	14	0	2	0	12	461	12461	21	2011	1FTNE2EW1BDA	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	7	8	5	12	0	0	0	237.608594
201410743288	2	1	4	3	3	1	1	0	7	13	0	14	0	2	0	49	40	49040	4	2003	4T1BE32K5346	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	5	8	5	12	0	0	0	238.699652
201410743519	2	1	6	10	3	1	1	0	8	0	1	14	0	2	0	23	999	23999	49	2000	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	5	12	0	0	0	100.448943
201410743731	2	1	4	1	3	1	1	0	8	6	40	14	0	2	0	35	999	35999	49	2012	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	5	12	0	0	0	239.1168
201410743731	3	1	4	1	3	1	1	0	8	6	40	14	0	2	0	32	399	32399	9	2005	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	8	5	12	0	0	0	239.1168
201410743877	2	1	3	4	3	1	1	0	8	12	20	14	0	2	0	99	884	99884	78	2001	999999999999	9	77	777777777	77777777777	8	19	98	1	0	0	0	0	0	0	0	6	0	5	12	0	0	0	14.923428
201410743962	2	1	6	21	3	1	1	0	8	5	45	14	0	2	0	19	18	19018	4	2006	1G6DP5779601	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	6	2	12	0	0	0	102.013604
201410743962	3	1	6	21	3	1	1	0	8	5	45	14	0	2	0	49	402	49402	14	2014	2T3DFREV5EW1	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	5	12	0	0	0	102.013604
201410743962	4	1	6	21	3	1	1	0	8	5	45	14	0	2	0	51	34	51034	4	1989	YV1AX884XK13	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	5	14	0	0	0	102.013604
201410743962	5	1	6	21	3	1	1	0	8	5	45	14	0	2	0	37	402	37402	14	2005	SHSRD78845U3	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	5	14	0	0	0	102.013604
201410744002	3	1	5	8	3	1	2	0	8	7	15	12	6	2	0	49	40	49040	4	2009	4T1BE46K2942	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	8	5	12	0	0	0	59.591196
201410744488	2	1	4	16	3	1	1	0	8	21	0	14	0	2	0	58	401	58401	14	1997	JNRAR05Y5VW0	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	63	8	5	12	0	0	0	242.113968
201410744488	3	1	4	16	3	1	1	0	8	21	0	14	0	2	0	99	999	99999	99	9999	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	62	8	5	12	0	0	0	242.113968
201410744615	2	1	4	3	3	1	1	0	9	17	0	14	0	2	0	7	24	7024	4	2009	2B3KA43DX9H5	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	7	8	5	12	0	0	0	238.699652
201410744752	2	1	4	4	3	1	1	0	9	16	30	14	0	2	0	12	24	12024	6	2011	2FMDK3GC6BBA	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	11	8	5	12	0	0	0	238.774848
