CASENUM,VEH_NO,MTM_CRSH
201018982954,1,9
201018982962,1,2
201018982962,1,9
201018983058,1,0
201018983394,1,1
201018983394,1,12
201018983503,1,1
201018983503,1,2
201018983503,2,1
201018983503,2,2
201018983506,1,2
201018983506,1,12
201018983618,1,0
201018984144,1,1
201018984144,1,2
201018984190,1,0
201018984464,1,2
201018984464,1,7
201018984544,1,2
201018984544,1,3
201018984920,1,0
201018985165,1,0
201018985563,1,9
201018985817,1,0
201018985863,1,0
201018985907,1,1
201018986078,1,0
201018986185,1,0
201018986201,1,2
201018986201,1,7
201018986575,1,2
201018986575,1,9
201018986631,1,2
201018987082,1,0
201018987118,1,4
201018987398,1,21
201018987481,1,9
201018987593,1,2
201018987593,1,9
201019385641,1,1
201019385641,1,12
201019387214,1,1
201019387351,1,2
201019387674,1,1
201019387674,1,2
201019387999,1,1
201019387999,1,12
201019388308,1,15
201019388308,1,21
201020182961,1,0
201020183100,1,0
201020183234,1,7
201020183342,1,19
201020183471,1,0
201020183528,1,2
201020185337,1,2
201020185337,1,3
201020185440,1,0
201020185757,1,0
201020186171,1,0
201020186239,1,9
201020186239,1,14
201020186278,1,2
201020186278,1,9
201020186278,1,13
201020186359,1,2
201020186359,1,3
201020186384,1,0
201020186469,1,1
201020186507,1,2
201020186514,1,4
201020186733,1,0
201020186877,1,2
201020186877,1,7
201020187388,1,0
201020187484,1,2
201020187508,1,1
201020187508,1,2
201020187508,1,12
201020187689,1,1
201020187689,1,3
201020187689,1,12
201020187860,1,4
201020187871,1,0
201020188487,1,20
201020189306,1,1
201020189306,1,2
201020189447,1,0
201020189643,1,6
201020189643,1,7
201020515169,1,0
201020515195,1,0
201020515317,1,2
201020515409,1,0
201020515505,1,9
201020515772,1,0
201020515775,1,2
201020515775,1,9
201020516000,1,10
201020516000,1,13
201020516000,1,14
201020516038,1,1
201020516038,2,1
201020516185,1,0
201020516215,1,2
201020516293,1,0
201020516347,1,10
201020919203,1,2
201020919213,1,12
201020919306,1,0
201020919432,1,0
201020919435,1,0
201020919496,1,12
201020919598,1,1
201020919598,1,12
201020919722,1,2
201020919782,1,1
201020919782,1,12
201020919782,1,19
201020919889,1,9
201020919890,1,1
201020920171,1,6
201020920268,1,1
201020920380,1,6
201020920380,1,9
201020920380,1,19
201020920380,1,21
201020920491,1,9
201020920555,1,0
201020920721,1,2
201020920721,1,12
201020920797,1,9
201020921046,1,9
201020921257,1,0
201020921396,1,2
201020921460,1,10
201020921460,1,19
201020921468,1,12
201020921482,1,10
201020921717,1,9
201020921745,1,0
201020921996,1,12
201020922207,1,9
201020922218,1,9
201020922263,1,0
201020922339,1,16
201020922339,1,19
201020922352,1,0
201020922419,1,1
201020922419,1,2
201020922419,1,12
201020922422,1,0
201020922448,1,1
201020922448,1,2
201020922454,1,1
201020922454,1,2
201020922627,1,9
201020922764,1,2
201020922764,1,12
201020922795,1,1
201020922795,1,2
201020922853,1,2
201020922853,1,9
201020922858,1,0
201020922860,1,0
201020922880,1,12
201020922952,1,1
201020922952,1,2
201020922996,1,0
201020923055,1,0
201020923078,1,0
201020923145,1,9
201020923145,1,13
201020923145,1,14
201020923145,1,19
201020923205,1,2
201020923226,1,0
201020923235,1,2
201020923375,1,0
201020923431,1,0
201020923438,1,0
201020923481,1,0
201022003586,1,0
201022089866,1,1
201022089866,1,12
201022090083,1,2
201022090083,1,3
201022090083,1,19
201022090332,1,6
201022090332,1,12
201022090332,2,6
201022090332,2,12
201022090466,1,17
201022090697,1,0
201022091658,1,0
201022091734,1,10
201022091768,1,0
201022092781,1,3
201022092781,1,6
201022093122,1,0
201022093563,1,9
201022093883,1,2
201022093883,1,15
201022094256,1,2
201022094256,1,6
201022094424,1,1
201022094424,1,21
201022094515,1,10
201022094697,1,9
201022094895,1,2
201022094895,1,6
201022095154,1,2
201022095154,1,17
201022095298,1,2
201022095298,1,3
201022095298,1,6
201022095496,1,0
201022095544,1,4
201022095624,1,0
201022095962,1,3
201022096000,1,0
201022096168,1,1
201022096168,1,2
201022096418,1,21
201022097005,1,2
201022097005,1,9
201022097085,1,0
201022097085,2,0
201022097227,1,1
201022097227,1,2
201022097648,1,1
201022097648,1,12
201022098166,1,0
201022098189,1,9
201022098304,1,0
201022098611,1,12
201022098959,1,1
201022098972,1,0
201022099675,1,0
201022099712,1,19
201022099822,1,4
201022309959,1,0
201022309967,1,2
201022309967,1,12
201022309967,1,19
201022310072,1,0
201022310079,1,0
201022310084,1,0
201022310086,1,0
201022310173,1,0
201022310367,1,0
201022310625,1,2
201022310625,1,6
201022310819,1,13
201022310819,1,14
201022310819,1,19
201022310844,1,0
201022310850,1,0
201022311004,1,1
201022311004,1,12
201022311015,1,0
201022311042,1,1
201022311042,1,12
201022311056,1,0
201022311283,1,0
201022311552,1,0
201022311669,1,12
201022311789,1,0
201022311841,1,0
201022311841,2,0
201022311970,1,0
201022312013,1,0
201022312240,1,19
201022312262,1,10
201022312262,1,19
201022312643,1,0
201022312673,1,1
201022312673,1,2
201022312673,1,6
201022312673,1,12
201022312674,1,2
201022312688,1,0
201022312695,1,0
201022312868,1,0
201022312874,1,2
201022312874,1,7
201022312876,1,0
201022312884,1,0
201022313097,1,12
201022313123,1,0
201022313235,1,0
201022313277,1,0
201022313290,1,0
201022313302,1,0
201022313367,1,0
201022313709,1,2
201022313709,1,12
201022313874,1,1
201022313874,1,2
201022313874,1,12
201022313882,1,15
201022313931,1,0
201022314098,1,0
201022314110,1,1
201022314110,1,2
201022314118,1,1
201022314118,1,2
201022314123,1,0
201022314143,1,9
201022314389,1,0
201022314436,1,0
201022314446,1,1
201022314446,1,2
201022314454,1,1
201022314454,1,2
201022314454,1,12
201022314499,1,9
201022314499,2,9
201022314728,1,2
201022314728,1,12
201022314943,1,2
201022314963,1,2
201022314963,1,3
201022315164,1,0
201022315171,1,4
201022315181,1,1
201022315181,1,2
201022315181,1,12
201022315212,1,0
201022315241,1,0
201022315428,1,0
201022315446,1,1
201022315446,1,2
201022315446,1,3
201022315480,1,2
201022315480,1,3
201022315619,1,2
201022315619,1,9
201022315917,1,8
201022315924,1,8
201022315948,1,0
201022316140,1,0
201022316199,1,2
201022316199,1,12
201022316217,1,0
201022316243,1,0
201022316482,1,2
