CASENUM,STRATUM,REGION,PJ,PSU,PSUSTRAT,WEIGHT,VE_TOTAL,MONTH,WKDY_IM,YEAR,HOUR_IM,MINUTE_IM,EVENT1_IM,MANCOL_IM,RELJCT1_IM,RELJCT2_IM,LGTCON_IM,WEATHR_IM,MAXSEV_IM,NO_INJ_IM,ALCHL_IM,LAND_USE,PVH_INVL,TYP_INT,REL_ROAD,CF1,CF2,CF3
201027902642,5,3,1,42,8,58.327,2,2,2,2010,13,58,12,6,0,2,1,1,2,2,2,8,0,3,1,,,
201027902650,1,3,1,42,8,4.166,1,2,4,2010,2,18,42,0,0,1,2,1,4,1,2,8,0,1,4,,,
201027902688,3,3,3,42,8,16.665,2,2,2,2010,7,37,12,2,0,2,1,2,2,2,2,3,0,3,1,,,
201027902697,1,3,3,42,8,4.166,2,2,3,2010,13,0,12,6,0,2,1,10,3,3,2,3,0,2,1,,,
201027902720,4,3,3,42,8,295.8,2,2,7,2010,12,53,12,8,0,2,1,1,0,0,2,3,0,3,1,,,
201027902752,3,3,10,42,8,22.362,1,2,3,2010,6,20,21,0,0,2,2,2,2,1,2,1,0,2,1,,,
201027902814,1,3,1,42,8,4.166,3,3,6,2010,23,56,12,2,0,2,3,1,3,2,2,8,0,2,1,,,
201027902842,1,3,1,42,8,4.166,2,3,6,2010,15,13,12,6,0,2,1,1,3,2,2,8,0,2,1,,,
201027902861,5,3,1,61,9,69.429,1,3,7,2010,2,45,59,0,0,1,2,1,2,1,2,8,0,1,4,,,
201027902862,3,3,1,61,9,34.715,2,3,1,2010,10,33,12,1,0,2,1,1,2,2,2,8,0,8,1,,,
201027902866,5,3,1,61,9,69.429,2,3,5,2010,16,32,12,1,0,2,1,1,1,1,2,8,0,8,1,,,
201027902870,5,3,1,61,9,69.429,2,3,7,2010,9,45,12,1,0,2,1,1,1,3,2,8,0,3,1,,,
201027902871,6,3,1,61,9,138.859,2,3,6,2010,11,5,12,6,0,2,1,1,0,0,2,8,0,3,1,,,
201027902874,1,3,1,61,9,34.715,2,1,6,2010,19,11,12,1,0,1,3,1,3,2,2,8,0,1,1,,,
201027902875,1,3,1,61,9,34.715,3,3,6,2010,11,10,12,1,0,2,1,1,3,1,2,8,0,8,1,,,
201027902879,2,3,1,61,9,34.715,2,3,5,2010,16,21,12,1,0,2,1,10,1,1,2,8,0,8,1,,,
201027902887,1,3,2,42,8,4.166,1,2,1,2010,6,20,74,0,0,1,4,1,3,1,1,8,0,1,3,,,
201027902912,3,3,2,42,8,16.665,2,3,2,2010,19,37,12,6,0,4,3,1,2,1,2,8,0,1,1,,,
201027902931,1,3,2,42,8,4.166,1,2,7,2010,21,13,74,0,1,5,3,10,3,1,2,8,0,1,4,,,
201027902954,1,3,2,42,8,4.166,2,2,7,2010,21,10,12,7,0,1,3,10,3,2,2,8,0,1,1,,,
201027902967,3,3,6,42,8,16.906,1,3,7,2010,10,55,1,0,0,1,1,1,2,2,2,8,0,1,4,,,
201027902971,3,3,1,61,9,34.715,1,3,7,2010,17,28,33,0,0,2,1,1,2,1,2,8,0,3,3,,,
201027902974,3,3,1,61,9,34.715,1,3,2,2010,1,41,74,0,1,5,3,1,2,1,1,8,0,1,8,,,
201027902980,4,3,1,61,9,277.718,2,3,2,2010,17,30,54,11,0,1,1,1,0,0,2,8,0,1,1,,,
201027902984,6,3,1,61,9,138.859,4,3,6,2010,14,40,12,1,0,1,1,2,0,0,2,8,0,1,1,,,
201027902985,3,3,1,61,9,34.715,1,3,1,2010,19,57,1,0,0,1,3,1,2,1,2,8,0,1,1,,,
201027902986,1,3,1,61,9,34.715,1,3,5,2010,22,20,31,0,1,5,3,1,3,3,2,8,0,1,4,,,
201027902987,1,3,1,61,9,34.715,2,3,6,2010,21,18,12,2,0,2,3,10,3,2,1,8,0,3,1,,,
201027902990,3,3,1,61,9,34.715,1,3,7,2010,6,17,21,0,0,2,4,1,3,1,2,8,0,8,1,,,
201027902991,1,3,1,61,9,34.715,1,3,7,2010,9,47,42,0,0,1,1,1,3,1,2,8,0,1,4,,,
201027902992,5,3,1,61,9,69.429,1,2,1,2010,17,30,1,0,0,1,1,1,2,1,2,8,0,1,1,,,
201027902995,3,3,1,61,9,34.715,3,3,2,2010,17,12,12,1,0,1,1,1,2,3,2,8,0,1,1,,,
201027902998,4,3,1,61,9,277.718,2,3,5,2010,17,53,12,1,0,2,1,10,0,0,2,8,0,8,1,,,
201027903000,2,3,1,61,9,34.715,2,3,2,2010,8,35,12,1,0,2,1,1,3,2,2,8,0,8,1,,,
201027903004,5,3,1,61,9,69.429,1,2,6,2010,17,45,53,0,0,1,1,1,2,1,2,8,0,1,4,,,
201027903007,3,3,1,61,9,34.715,1,3,7,2010,13,9,22,0,0,2,1,1,3,1,2,8,0,8,1,,,
201027903008,5,3,1,61,9,69.429,2,3,2,2010,10,26,12,1,0,1,1,1,1,3,2,8,0,1,1,,,
201027903013,3,3,1,61,9,34.715,1,3,2,2010,19,55,21,0,0,1,2,1,4,1,2,8,0,1,1,,,
201027903017,4,3,1,61,9,277.718,2,3,7,2010,16,43,12,6,0,2,1,1,0,0,2,8,0,3,1,,,
201027903018,5,3,1,61,9,69.429,3,3,5,2010,10,9,12,1,0,2,1,1,1,3,2,8,0,8,1,,,
201027903020,6,3,1,61,9,138.859,2,3,2,2010,16,19,12,1,0,1,1,1,0,0,2,8,0,1,1,,,
201027903028,2,3,6,42,8,4.227,2,3,6,2010,0,46,12,6,0,1,6,10,1,1,2,8,0,1,1,,,
201027903036,1,3,2,42,8,4.166,1,1,2,2010,8,10,25,0,0,1,1,1,4,1,2,8,0,1,3,,,
201027903043,6,3,2,42,8,129.152,4,3,3,2010,14,54,12,1,0,1,1,1,0,0,2,8,0,1,1,,,
201027903045,2,3,2,42,8,4.166,2,3,2,2010,11,30,12,1,0,1,1,10,1,3,2,8,0,1,1,,,
201027903071,5,3,2,42,8,58.327,2,3,6,2010,20,32,12,6,0,2,3,10,2,4,2,8,0,2,1,,,
201027903076,4,3,2,42,8,295.8,2,3,1,2010,14,45,12,6,0,2,1,1,0,0,2,8,0,3,1,,,
201027903093,1,3,2,42,8,4.166,1,3,6,2010,20,21,25,0,0,1,3,10,3,1,2,8,0,1,3,,,
201027903136,1,3,11,42,8,11.902,2,3,2,2010,18,17,12,6,0,1,5,1,3,2,2,2,0,1,1,,,
